date,season,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,outcome
2023-01-26 22:15:00+00:00,2023,Rosario Central,Argentinos JRS,437,458,1,0,2
2023-01-27 22:15:00+00:00,2023,Estudiantes L.P.,Tigre,450,452,1,2,0
2023-01-27 22:15:00+00:00,2023,Talleres Cordoba,Independiente,456,453,0,1,0
2023-01-28 00:30:00+00:00,2023,Defensa Y Justicia,Huracan,442,445,2,4,0
2023-01-28 20:00:00+00:00,2023,San Lorenzo,Arsenal Sarandi,460,459,1,0,2
2023-01-28 22:15:00+00:00,2023,Racing Club,Belgrano Cordoba,436,440,0,0,1
2023-01-28 22:15:00+00:00,2023,Colon Santa Fe,Lanus,448,446,1,2,0
2023-01-28 22:15:00+00:00,2023,Instituto Cordoba,Sarmiento Junin,478,474,0,0,1
2023-01-29 00:30:00+00:00,2023,Central Cordoba de Santiago,River Plate,1065,435,0,2,0
2023-01-29 20:00:00+00:00,2023,Platense,Newells Old Boys,1064,457,2,2,1
2023-01-30 00:30:00+00:00,2023,Boca Juniors,Atletico Tucuman,451,455,1,0,2
2023-01-30 20:00:00+00:00,2023,Barracas Central,Godoy Cruz,2432,439,0,1,0
2023-01-30 23:00:00+00:00,2023,Velez Sarsfield,Gimnasia L.P.,438,434,3,1,2
2023-01-30 23:00:00+00:00,2023,Banfield,Union Santa Fe,449,441,0,0,1
2023-02-03 23:00:00+00:00,2023,Tigre,Rosario Central,452,437,2,2,1
2023-02-03 23:00:00+00:00,2023,Newells Old Boys,Velez Sarsfield,457,438,1,0,2
2023-02-04 20:00:00+00:00,2023,Arsenal Sarandi,Estudiantes L.P.,459,450,1,1,1
2023-02-04 20:00:00+00:00,2023,Sarmiento Junin,Barracas Central,474,2432,3,5,0
2023-02-04 22:15:00+00:00,2023,Belgrano Cordoba,River Plate,440,435,2,1,2
2023-02-05 00:30:00+00:00,2023,Lanus,San Lorenzo,446,460,2,1,2
2023-02-05 00:30:00+00:00,2023,Argentinos JRS,Racing Club,458,436,1,0,2
2023-02-05 20:00:00+00:00,2023,Independiente,Platense,453,1064,1,2,0
2023-02-05 22:15:00+00:00,2023,Boca Juniors,Central Cordoba de Santiago,451,1065,0,0,1
2023-02-06 00:30:00+00:00,2023,Godoy Cruz,Colon Santa Fe,439,448,1,0,2
2023-02-06 00:30:00+00:00,2023,Union Santa Fe,Instituto Cordoba,441,478,0,2,0
2023-02-06 00:30:00+00:00,2023,Atletico Tucuman,Talleres Cordoba,455,456,0,2,0
2023-02-06 21:00:00+00:00,2023,Gimnasia L.P.,Defensa Y Justicia,434,442,0,2,0
2023-02-07 00:30:00+00:00,2023,Huracan,Banfield,445,449,3,2,2
2023-02-11 00:30:00+00:00,2023,Colon Santa Fe,Sarmiento Junin,448,474,0,2,0
2023-02-11 00:30:00+00:00,2023,Central Cordoba de Santiago,Belgrano Cordoba,1065,440,0,1,0
2023-02-11 20:00:00+00:00,2023,Defensa Y Justicia,Newells Old Boys,442,457,1,0,2
2023-02-11 20:00:00+00:00,2023,San Lorenzo,Godoy Cruz,460,439,1,0,2
2023-02-11 22:15:00+00:00,2023,Platense,Atletico Tucuman,1064,455,1,1,1
2023-02-12 00:30:00+00:00,2023,Talleres Cordoba,Boca Juniors,456,451,2,1,2
2023-02-12 00:30:00+00:00,2023,Velez Sarsfield,Independiente,438,453,0,0,1
